id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
DN3R8AT,"HP EliteBook 8 G2i 14 inch Notebook Next Gen AI PC, Silver",9140.00,https://www.hp.com/my-en/shop/hp-elitebook-8-g2i-14-inch-notebook-next-gen-ai-pc-dn3r8at.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Intel® Core™ Ultra 5 processor,,32 GB LPDDR5x-8533 RAM,512 GB SSD Hard Drive,"14"" diagonal WUXGA display",,,Windows 11 Pro
DJ0L0AT,"HP ProBook 4 G1i 14 inch Notebook AI PC, Silver",6213.00,https://www.hp.com/my-en/shop/hp-probook-4-g1i-14-inch-notebook-ai-pc-dj0l0at.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Intel® Core™ Ultra 5 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"14"" diagonal WUXGA display",,,Windows 11 Pro
DF4Z6AT,"HP ProBook 4 G2i 16 inch Notebook Next Gen AI PC, Silver",6586.00,https://www.hp.com/my-en/shop/hp-probook-4-g2i-16-inch-notebook-next-gen-ai-pc-df4z6at.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Intel® Core™ Ultra 5 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"16"" diagonal WUXGA display",,,Windows 11 Pro
DF4Z5AT,"HP ProBook 4 G2i 14 inch Notebook Next Gen AI PC, Silver",7171.00,https://www.hp.com/my-en/shop/hp-probook-4-g2i-14-inch-notebook-next-gen-ai-pc-df4z5at.html,https://my-media.apjonlinecdn.com/static/version1785187843/frontend/HPOLS/stellar/en_US/Mageplaza_LazyLoading/mageplaza/lazyloading/BG.png,HP Official,Intel® Core™ Ultra 7 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"14"" diagonal WUXGA display",,,Windows 11 Pro
DF4Z8AT,"HP ProBook 4 G2i 16 inch Notebook Next Gen AI PC, Silver",7269.00,https://www.hp.com/my-en/shop/hp-probook-4-g2i-16-inch-notebook-next-gen-ai-pc-df4z8at.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/r/i/ricotta16_hp_probook_4_g2i_16_ngnaturalsilver_wlan_fpr_catalog_transparentbg_front_6479405.png,HP Official,Intel® Core™ Ultra 7 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"16"" diagonal WUXGA display",,,Windows 11 Pro
DJ0L3AT,"HP ProBook 4 G1i 16 inch Notebook AI PC, Silver",6314.00,https://www.hp.com/my-en/shop/hp-probook-4-g1i-16-inch-notebook-ai-pc-dj0l3at.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/h/p/hp_probook_4_g1i_16_inch_notebook_ai_pc-front.png,HP Official,Intel® Core™ Ultra 5 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"16"" diagonal WUXGA display",,,Windows 11 Pro
DJ0L1AT,"HP ProBook 4 G1i 14 inch Notebook AI PC, Silver",6898.00,https://www.hp.com/my-en/shop/hp-probook-4-g1i-14-inch-notebook-ai-pc-dj0l1at.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/h/p/hp_probook_4_14_inch_g1i_rainbowcake14_front_1_.png,HP Official,Intel® Core™ Ultra 7 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"14"" diagonal WUXGA display",,,Windows 11 Pro
DJ0P0AT,"HP ProBook 4 G1i 16 inch Notebook AI PC, Silver",7023.00,https://www.hp.com/my-en/shop/hp-probook-4-g1i-16-inch-notebook-ai-pc-dj0p0at.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/h/p/hp_probook_4_g1i_16_inch_notebook_ai_pc-front_1.png,HP Official,Intel® Core™ Ultra 7 processor,,16 GB DDR5-5600 RAM,512 GB SSD Hard drive,"16"" diagonal WUXGA display",,,Windows 11 Pro
DP7Y2PA,HP OmniBook X Flip 2-in-1 Laptop Next Gen AI 14-kc0062AU,6383.00,https://www.hp.com/my-en/shop/hp-omnibook-x-flip-2-in-1-laptop-next-gen-ai-14-kc0062au-dp7y2pa.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/D/P/DP7Y2PA-1_T1781080053.png,HP Official,AMD Ryzen™ AI 7 processor,,16 GB LPDDR5x-8000 MT/s (onboard),,,,,Windows 11 Home Single Language
DT7T9PA,"HP Victus Gaming 15.6 inch Laptop 15-fa2743TX, Silver",5711.00,https://www.hp.com/my-en/shop/victus-gaming-laptop-15-fa2743tx-dt7t9pa.html,https://my-media.apjonlinecdn.com/catalog/product/cache/b3b166914d87ce343d4dc5ec5117b502/D/T/DT7T9PA-1_T1781079942.png,HP Official,14th Generation Intel® Core™ i7-14650HX processor,NVIDIA® GeForce RTX™ 4050,16 GB DDR5-5600 RAM,512 GB SSD Hard Drive,"15.6"" diagonal FHD display",,,Windows 11 Home
