id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
21VVCTO1WWMY1,ThinkPad X9-15p Gen 1,11908.27,https://www.lenovo.com/my/en/p/laptops/thinkpad/thinkpadx9/thinkpad-x9-15p-aura-edition-15-inch-intel/21vvcto1wwmy1,https://p1-ofp.static.pub/ShareResource/optimized/pdp/thinkpad/thinkpad-x-series/len101t0162/lenovo-thankpad-x9-15p-aura-edition-intel-pdp-gallery-1.f2a2163df1b1b710.png,Lenovo Official,Intel® Core™ Ultra X7 358H Processor (E-cores up to 3.50 GHz P-cores up to 4.80 GHz),Integrated Intel® Arc™ Graphics,32 GB LPDDR5X-9600MT/s (Soldered),1 TB SSD M.2 2280 PCIe Gen4 TLC Opal,"15.3"" 2.8K (2880 x 1800), OLED, Anti-Reflection/Anti-Smudge, Non-Touch, HDR 1000 True Black, 100%DCI-P3, 500 nits, 120Hz",,,"OS: Windows 11 Home 64 | Warranty: 2 Years Premier Support AI | The ThinkPad X9-15p Gen 1 offers a stunning 15.3"" 2.8K OLED display with vibrant colors and smooth 120Hz refresh rate. Equipped with an Intel® Core™ Ultra processor, 32GB memory, and 1TB SSD, it ensures seamless multitasking for business professionals."
83RQCTO1WWMY1,"IdeaPad Slim 3i (14"", Gen 11)",3261.92,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-slim-series/lenovo-ideapad-slim-3i-gen-11-14-inch-intel/83rqcto1wwmy1,https://p2-ofp.static.pub/ShareResource/optimized/ideapad/ideapad-slim-3i-gen11-intel/lenovo-ideapad-slim-3i-gen-11-14-intel-pdp-gallery-1.png,Lenovo Official,Intel® Core™ 5 320 Processor (LPE-cores up to 3.40 GHz P-cores up to 4.60 GHz),Integrated Graphics,8 GB DDR5-5600MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 400 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Carry-in | The IdeaPad Slim 3i (14"", Gen 11) offers a sleek design with a vibrant 14"" WUXGA anti-glare display. Powered by an Intel® Core™ processor, 8GB DDR5 memory, and 256GB SSD storage, it ensures smooth performance for students and everyday users."
83RRCTO1WWMY2,"IdeaPad Slim 3i (15"", Gen 11)",3296.12,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-slim-series/lenovo-ideapad-slim-3i-gen-11-15-inch-intel/83rrcto1wwmy2,https://p1-ofp.static.pub/ShareResource/optimized/IdeaPad-Slim-3i-Gen11-15-Intel/lenovo-ideapad-slim-3i-gen-11-15-intel-pdp-gallery-1.png,Lenovo Official,Intel® Core™ 5 320 Processor (LPE-cores up to 3.40 GHz P-cores up to 4.60 GHz),Integrated Graphics,8 GB DDR5-5600MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"15.3"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 400 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Carry-in | The IdeaPad Slim 3i (15"", Gen 11) offers a sleek design and reliable performance for everyday use and entertainment. It features a 15.3"" WUXGA display, Intel® Core™ i5 processor, 8GB DDR5 memory, and 256GB SSD storage, ideal for students and casual users."
83VSCTO1WWMY1,"IdeaPad Slim 3i (17"", Gen 11)",3340.82,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-slim-series/ideapad-slim-3i-gen-11-17-inch-intel-/83vscto1wwmy1,https://p1-ofp.static.pub/ShareResource/optimized/pdp/ideapad/ideapad-slim-series/LEN101I0152/lenovo-ideapad-slim-3i-gen-11-17-intel-pdp-gallery-1.png,Lenovo Official,Intel® Core™ 5 320 Processor (LPE-cores up to 3.40 GHz P-cores up to 4.60 GHz),Integrated Graphics,8 GB DDR5-5600MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"17.3"" FHD (1920 x 1080), IPS, Anti-Glare, Non-Touch, 72%NTSC, 300 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Carry-in | The IdeaPad Slim 3i (17"", Gen 11) offers a large 17.3"" FHD display with anti-glare for immersive viewing. Powered by Intel® Core™ 5 320, 8GB DDR5 memory, and 256GB SSD, it ensures smooth performance for everyday tasks and entertainment."
83S0CTO1WWMY1,Lenovo LOQ Essential 15ARP10,4789.67,https://www.lenovo.com/my/en/p/laptops/loq-laptops/lenovo-loq-essential-15arp10/83s0cto1wwmy1,https://p2-ofp.static.pub/fes/cms/2025/09/15/hk2sn6r6wqe6l7yqw6zqwla92ssgqp750595.png,Lenovo Official,AMD Ryzen™ 5 7535HS Processor (3.30 GHz up to 4.55 GHz),NVIDIA® GeForce RTX™ 3050 Laptop GPU 6GB GDDR6,16 GB DDR5-4800MT/s (SODIMM),512 GB SSD M.2 2242 PCIe Gen4 QLC,"15.6"" FHD (1920 x 1080), IPS, Anti-Glare, Non-Touch, 100%sRGB, 300 nits, 144Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year PremiumCare | The Lenovo LOQ Essential 15ARP10 is a powerful gaming laptop with an AMD Ryzen™ 5 processor and NVIDIA® GeForce RTX™ 3050 GPU. It features a 15.6"" FHD display with 144Hz refresh rate, 16GB DDR5 memory, and 512GB SSD storage, perfect for smooth gaming experiences."
21UXCTO1WWMY1,ThinkBook 14 Gen 9,5347.06,https://www.lenovo.com/my/en/p/laptops/thinkbook/thinkbook-series/lenovo-thinkbook-14-gen-9-14-inch-intel/21uxcto1wwmy1,https://p2-ofp.static.pub/ShareResource/optimized/pdp/thinkbook/thinkbook-series/len101b0063/lenovo-thinkbook-14-gen-9-14-intel-pdp-gallery-1.png,Lenovo Official,Intel® Core™ Ultra 5 325 Processor (LPE-cores up to 3.40 GHz P-cores up to 4.50 GHz),Integrated Graphics,16 GB DDR5-5600MT/s (SODIMM) - (2 x 8 GB),256 GB SSD M.2 2242 PCIe Gen4 TLC,"14"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 400 nits, 60Hz",,,"OS: Windows 11 Home 64 | Warranty: 1 Year On-site | The ThinkBook 14 Gen 9 offers a sleek design with Arctic Grey finish and powerful Intel® Core™ Ultra 5 processor. It features a 14"" WUXGA anti-glare display, 16GB DDR5 memory, and 256GB SSD storage, making it ideal for students and professionals alike."
21SK00BTMA,Lenovo ThinkBook 16 Gen 8 (16” Intel),5376.65,https://www.lenovo.com/my/en/p/laptops/thinkbook/thinkbook-series/lenovo-thinkbook-16-gen-8-16-inch-intel/21sk00btma,https://p4-ofp.static.pub/fes/cms/2025/01/15/109wcm0ihbqeuihmi7qlwpyl50oxy2108880.png,Lenovo Official,Intel® Core™ Ultra 5 225H Processor (E-cores up to 4.30 GHz P-cores up to 4.90 GHz),Integrated Intel® Arc™ 130T GPU,16 GB DDR5-5600MT/s (SODIMM),512 GB SSD M.2 2242 PCIe Gen4 QLC,"16"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 300 nits, 60 Hz",,,"OS: Windows 11 Pro 64 | Warranty: 3 Year On-site | The Lenovo ThinkBook 16 G8 IAL offers a powerful Intel® Core™ Ultra 5 processor and a vibrant 16"" WUXGA display. With 16GB DDR5 memory, 512GB SSD storage, and Wi-Fi 6E, it's perfect for students and professionals needing reliable performance."
83LY004EMJ,"Legion 5i (15"",  Gen 10)",8880.63,https://www.lenovo.com/my/en/p/laptops/legion-laptops/legion-series/lenovo-legion-5i-gen-10-15-inch-intel/83ly004emj,https://p2-ofp.static.pub/fes/cms/2025/04/14/dmwa5bmukcg6gb3erzii12khrfho4p776428.png,Lenovo Official,14th Generation Intel® Core™ i9-14900HX Processor (E-cores up to 4.10 GHz P-cores up to 5.80 GHz),NVIDIA® Geforce RTX™ 5070 Laptop GPU 8GB GDDR7,32 GB DDR5-5600MT/s (SODIMM)(2 x 16 GB),1 TB SSD M.2 2242 PCIe Gen4 TLC,"15.1"" WQXGA (2560 x 1600), OLED, Glare, Non-Touch, HDR 600 True Black, 100%DCI-P3, 500 nits, 165 Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 2 Year Legion Ultimate Support | The Lenovo Legion 5 15IRX10 is a powerful gaming laptop with a 14th Gen Intel® Core™ i9 processor and NVIDIA® RTX™ 5070 GPU. It features a stunning 15.1"" OLED display with 165Hz refresh rate, 32GB DDR5 memory, 1TB SSD storage, and customizable RGB keyboard for gamers."
83KJCTO1WWMY1,"Yoga Book 9i (14"", Gen 10)",10104.35,https://www.lenovo.com/my/en/p/laptops/yoga/yoga-2-in-1-series/yoga-book-9i-gen-10-14-inch-intel/83kjcto1wwmy1,https://p3-ofp.static.pub/fes/cms/2024/11/21/bamhxh0zi9od1fjdqburctqu2ovmx4654163.png,Lenovo Official,Intel® Core™ Ultra 7 255H Processor (E-cores up to 4.40 GHz P-cores up to 5.10 GHz),Integrated Graphics,32 GB LPDDR5X-8400MT/s (Soldered),512 GB SSD M.2 2242 PCIe Gen4 TLC,"14"" 2.8K (2880 x 1800), OLED, Glare, Touch, HDR 600 True Black, 100%DCI-P3, 500 nits, 120Hz, Glass",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year PremiumCare | The Yoga Book 9i (14"", Gen 10) features a stunning 14"" 2.8K OLED touchscreen with vibrant colors and smooth 120Hz refresh rate. With 32GB memory, 512GB SSD storage, and Intel® Core™ Ultra 7 processor, it's perfect for creators seeking performance and style."
83F5004PMJ,"Legion Pro 7i (16″, Gen 10)",12160.57,https://www.lenovo.com/my/en/p/laptops/legion-laptops/legion-pro-series/legion-pro-7i-gen-10-16-inch-intel/83f5004pmj,https://p1-ofp.static.pub/fes/cms/2025/10/12/cq22o5msdad5to7arfxsmmf6bsu6n4599010.png,Lenovo Official,Intel® Core™ Ultra 9 275HX Processor (E-cores up to 4.60 GHz P-cores up to 5.40 GHz),NVIDIA® Geforce RTX™ 5070 Ti Laptop GPU 12GB GDDR7,32 GB DDR5-6400MT/s (CSODIMM)(2 x 16 GB),1 TB SSD M.2 2242 PCIe Gen4 TLC,"16"" WQXGA (2560 x 1600), OLED, Glare, Non-Touch, HDR 1000 True Black, 100%DCI-P3, 500 nits, 240 Hz, Low Blue Light",,,"OS: Windows 11 Home Single Language 64 | Warranty: 3 Year Legion Ultimate Support | The Lenovo Legion Pro 7 offers powerful gaming performance with an Intel® Core™ Ultra 9 processor and NVIDIA® RTX™ 5070 Ti GPU. Its 16"" OLED display with 240Hz refresh rate ensures stunning visuals, while 32GB RAM and 1TB SSD provide seamless multitasking and storage."
