id,title,price,url,image_url,series,processor,graphics,memory,storage,display,wifi,battery,others
21RQCTO1WWMY2,ThinkPad P16 Gen 3,16192.30,https://www.lenovo.com/my/en/p/laptops/thinkpad/thinkpadp/lenovo-thinkpad-p16-gen-3-16-inch-intel-mobile-workstation/21rqcto1wwmy2,https://p1-ofp.static.pub//fes/cms/2025/08/14/opx8egacmb1gwc4alw2i8s17mbf54j715958.png,All Laptops,Intel® Core™ Ultra 7 255HX Processor (E-cores up to 4.50 GHz P-cores up to 5.20 GHz),NVIDIA RTX PRO™ 1000 Blackwell Laptop GPU 8GB GDDR7,"16 GB DDR5-5600MT/s (SODIMM, ECC)",No Storage Selection,"16"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 100%sRGB, 500 nits, 60Hz, Low Power",,,"OS: Windows 11 Home 64 | Warranty: 3 Years Premier Support Plus AI | The ThinkPad P16 Gen 3 offers powerful performance with Intel® Core™ Ultra 7 and NVIDIA RTX PRO™ 1000 graphics. Its 16"" WUXGA display delivers stunning visuals, while features like a fingerprint reader and backlit keyboard enhance usability for professionals."
83HFCTO1WWMY1,Lenovo V15 Gen 5,3500.17,https://www.lenovo.com/my/en/p/laptops/lenovo/lenovo-v-series-laptops/lenovo-v15-gen-5-15-inch-intel/83hfcto1wwmy1,https://p4-ofp.static.pub//fes/cms/2024/05/17/wb6a1j3jncxawpmgrbcqmx0rid7wj0885413.png,All Laptops,13th Generation Intel® Core™ i5-13420H Processor (E-cores up to 3.40 GHz P-cores up to 4.60 GHz),Integrated Graphics,8 GB DDR5-5200MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"15.6"" FHD (1920 x 1080), TN, Anti-Glare, Non-Touch, 45%NTSC, 250 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Courier or Carry-in | The Lenovo V15 Gen 5 is a reliable laptop designed for business professionals, featuring a 15.6"" FHD anti-glare display. Powered by a 13th Gen Intel® Core™ i5 processor, 8GB DDR5 memory, and 256GB SSD storage, it ensures smooth multitasking and fast performance."
83HDCTO1WWMY2,Lenovo V14 Gen 5,3516.01,https://www.lenovo.com/my/en/p/laptops/lenovo/lenovo-v-series-laptops/lenovo-v14-gen-5-14-inch-intel/83hdcto1wwmy2,https://p2-ofp.static.pub//fes/cms/2024/05/17/raknzkj4hazha2gu9c0long1stm11e684203.png,All Laptops,13th Generation Intel® Core™ i5-13420H Processor (E-cores up to 3.40 GHz P-cores up to 4.60 GHz),Integrated Graphics,8 GB DDR5-5200MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC,"14"" FHD (1920 x 1080), TN, Anti-Glare, Non-Touch, 45%NTSC, 250 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Courier or Carry-in | The Lenovo V14 Gen 5 is a reliable laptop designed for business professionals. It features a 13th Gen Intel Core i5 processor, 8GB DDR5 memory, and 256GB SSD storage for efficient multitasking and fast performance."
21M5CTO1WWMY1,ThinkPad E16 Gen 2 (AMD),4016.53,https://www.lenovo.com/my/en/p/laptops/thinkpad/thinkpade/lenovo-thinkpad-e16-gen-2-16-inch-amd/21m5cto1wwmy1,https://p1-ofp.static.pub//fes/cms/2024/04/01/wy81dqic5dln5xqeq6u9oitn40mmce229286.png,All Laptops,AMD Ryzen™ 5 7535U Processor (2.90 GHz up to 4.55 GHz),Integrated Graphics,8 GB DDR5-4800MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC Opal,"16"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 300 nits, 60Hz",,,"OS: Windows 11 Home 64 | Warranty: 2 Years On-site | The ThinkPad E16 Gen 2 offers a durable design, a 16-inch display, and a powerful AMD Ryzen™ 5 processor for seamless multitasking. Users praise its exceptional keyboard and robust build, making it ideal for business professionals seeking reliability and performance."
83UHCTO1WWMY1,"IdeaPad 5a 2-in-1 (14"", Gen 11)",4039.89,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-2-in-1-series/ideapad-5a-2-in-1-gen-11-14-inch-amd/83uhcto1wwmy1,https://p3-ofp.static.pub/ShareResource/optimized/pdp/ideapad/ideapad-2-in-1-series/len101i0144/lenovo-ideapad-5a-2-in-1-gen-11-14-amd-pdp-gallery-1.2244d0aa6ed421a5.png,All Laptops,AMD Ryzen™ AI 5 430 Processor (2.00 GHz up to 4.50 GHz),Integrated Graphics,16 GB DDR5-5600MT/s (SODIMM) - (2 x 8 GB),512 GB SSD M.2 2242 PCIe Gen4 QLC,"14"" WUXGA (1920 x 1200), IPS, Glare, Touch, 45%NTSC, 400 nits, 60Hz, Glass",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Carry-in | The IdeaPad 5a 2-in-1 (14"", Gen 11) offers a versatile design with a vibrant 14"" touch display. Powered by an AMD Ryzen™ AI 5 430 processor, 16GB memory, and 512GB SSD, it's perfect for students seeking performance and flexibility."
83UMCTO1WWMY1,"IdeaPad 5a 2-in-1 (15"",  Gen 11)",4087.10,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-2-in-1-series/lenovo-ideapad-5a-2-in-1-gen-11-15-inch-amd-laptop/83umcto1wwmy1,https://p1-ofp.static.pub/ShareResource/optimized/pdp/ideapad/ideapad-2-in-1-series/len101i0141/lenovo-ideapad-slim-5a-2-in-1-gen-11-15-amd-pdp-gallery-1.5ea6d13005b24a5c.png,All Laptops,AMD Ryzen™ AI 5 430 Processor (2.00 GHz up to 4.50 GHz),Integrated Graphics,16 GB DDR5-5600MT/s (SODIMM) - (2 x 8 GB),512 GB SSD M.2 2242 PCIe Gen4 QLC,"15.3"" WUXGA (1920 x 1200), IPS, Glare, Touch, 45%NTSC, 400 nits, 60Hz, Glass",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Carry-in | The IdeaPad 5a 2-in-1 (15"", Gen 11) offers a versatile design with a 15.3"" WUXGA touch display for enhanced usability. Equipped with an AMD Ryzen™ AI 5 430 processor, 16GB DDR5 memory, and 512GB SSD storage, it ensures smooth performance for students and everyday use."
83QSCTO1WWMY1,"Yoga Slim 7a (14"", Gen 11)",4449.41,https://www.lenovo.com/my/en/p/laptops/yoga/yoga-slim-series/yoga-slim-7a-gen-11-14-inch-amd/83qscto1wwmy1,https://p1-ofp.static.pub/ShareResource/optimized/pdp/yoga/yoga-slim-series/len101y0065/lenovo-yoga-slim-7a-gen-11-14-amd-pdp-gallery-1.png,All Laptops,AMD Ryzen™ AI 5 430 Processor (2.00 GHz up to 4.50 GHz),Integrated Graphics,16 GB LPDDR5X-8000MT/s (Soldered),512 GB SSD M.2 2242 PCIe Gen4 QLC,"14"" WUXGA (1920 x 1200), OLED, Glare, Non-Touch, HDR 500 True Black, 100%DCI-P3, 400 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year PremiumCare | The Yoga Slim 7a (14"", Gen 11) offers a stunning 14"" OLED display with vibrant colors and HDR support. Powered by an AMD Ryzen™ AI 5 430 Processor and 16GB memory, it ensures smooth performance, perfect for creators on the go."
83ULCTO1WWMY1,"IdeaPad 5i 2-in-1 (15"",  Gen 11)",4701.20,https://www.lenovo.com/my/en/p/laptops/ideapad/ideapad-2-in-1-series/lenovo-ideapad-5i-2-in-1-gen-11-15-inch-intel/83ulcto1wwmy1,https://p4-ofp.static.pub/ShareResource/optimized/pdp/ideapad/ideapad-2-in-1-series/len101i0147/lenovo-ideapad-5i-2-in-1-gen-11-15-intel-pdp-gallery-1.4cfb1a208902750b.png,All Laptops,Intel® Core™ Ultra 5 325 Processor (LPE-cores up to 3.40 GHz P-cores up to 4.50 GHz),Integrated Graphics,16 GB DDR5-5600MT/s (SODIMM) - (2 x 8 GB),512 GB SSD M.2 2242 PCIe Gen4 QLC,"15.3"" WUXGA (1920 x 1200), IPS, Glare, Touch, 45%NTSC, 400 nits, 60Hz, Glass",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year Carry-in | The IdeaPad 5i 2-in-1 offers a versatile design with a 15.3"" WUXGA touch display and backlit keyboard for enhanced usability. Powered by an Intel® Core™ Ultra 5 processor, 16GB RAM, and 512GB SSD, it's perfect for students seeking performance and flexibility."
83QMCTO1WWMY1,"Yoga Slim 7i Aura Edition (14"", Gen 11)",4742.12,https://www.lenovo.com/my/en/p/laptops/yoga/yoga-slim-series/lenovo-yoga-slim-7i-gen-11-aura-edition-14-inch-intel/83qmcto1wwmy1,https://p2-ofp.static.pub/ShareResource/optimized/pdp/yoga/yoga-slim-series/len101y0069/yoga-slim-7i-aura-gallery-1.bb5cede57cec7917.png,All Laptops,Intel® Core™ Ultra 5 322 Processor (LPE-cores up to 3.30 GHz P-cores up to 4.40 GHz),Integrated Graphics,16 GB LPDDR5X-7467MT/s (Soldered),512 GB SSD M.2 2242 PCIe Gen4 QLC,"14"" WUXGA (1920 x 1200), OLED, Glare, Non-Touch, HDR 500 True Black, 100%DCI-P3, 400 nits, 60Hz",,,"OS: Windows 11 Home Single Language 64 | Warranty: 1 Year PremiumCare | The Yoga Slim 7i Aura Edition offers a stunning 14"" OLED display with vibrant colors and sharp details. Powered by an Intel® Core™ Ultra 5 processor, 16GB memory, and 512GB SSD, it's perfect for creators seeking performance and style."
21SRCTO1WWMY1,ThinkPad E16 Gen 3,4766.50,https://www.lenovo.com/my/en/p/laptops/thinkpad/thinkpade/lenovo-thinkpad-e16-gen-3-16-inch-intel/21srcto1wwmy1,https://p4-ofp.static.pub//fes/cms/2025/03/19/6gjvthp40k9v8kkd1niipl547mxs11488818.png,All Laptops,Intel® Core™ Ultra 5 225U Processor (E-cores up to 3.80 GHz P-cores up to 4.80 GHz),Integrated Graphics,8 GB DDR5-5600MT/s (SODIMM),256 GB SSD M.2 2242 PCIe Gen4 TLC Opal,"16"" WUXGA (1920 x 1200), IPS, Anti-Glare, Non-Touch, 45%NTSC, 300 nits, 60Hz",,,"OS: Windows 11 Home 64 | Warranty: 2 Years On-site | The ThinkPad E16 Gen 3 offers a robust design, a 16"" anti-glare display, and a backlit keyboard with a numeric pad for productivity. Users praise its exceptional performance, upgrade potential, and reliability, making it ideal for business and professional users."
